Skin,Precio (Oro)
M4 Lizard,18.0
M4 Lizard StatTrack,102.74
G22 Flock,1.7
M4 Flock,2.98
Desert Eagle Violet Flame,0.5
Val Joker,0.5
M4A1 Stainless,0.49
USP Ghosts,3.05
M40 Disguise,2.8
